000E13, "Accu-Sort Systems Inc.", "SCADA_VENDOR", "3"
000E38, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000E39, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000E83, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000E84, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000E8C, " Siemens AG A&D ET", "SCADA_VENDOR", "5"
000EC1, "Mynah Technologies", "SCADA_VENDOR", "3"
000ECF, "Profibus Nutzerorganisation e.V.", "SCADA_VENDOR", "3"
000ED6, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000ED7, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000EF0, "Festo AG & Co. KG", "SCADA_VENDOR", "3"
000F18, "Industrial Control Systems", "SCADA_VENDOR", "3"
000F1F, "Dell ESG PCBA Test", "PC_VENDOR", "5"
000F23, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000F24, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000F34, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000F35, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000F66, "Cisco-Linksys", "NETWORK_VENDOR", "5"
000F67, "West Instruments", "SCADA_VENDOR", "3"
000F69, "SEW Eurodrive GmbH & Co. KG", "SCADA_VENDOR", "3"
000F73, "Rockwell Samsung Automation Co. Ltd", "SCADA_VENDOR", "3"
000F8F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000F90, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000F9C, "Panduit Corp", "SCADA_VENDOR", "3"
000F9E, "Murrelektronik GmbH", "SCADA_VENDOR", "3"
000FF7, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
000FF8, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001007, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00100B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00100D, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001011, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001014, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00101F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001025, "Grayhill, Inc", "SCADA_VENDOR", "3"
001029, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00102F, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001048, "Htrc Automation, Inc.", "SCADA_VENDOR", "2"
001054, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001079, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00107B, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0010A6, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0010C3, "Csi-Control Systems", "SCADA_VENDOR", "3"
0010F6, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0010FF, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001120, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001121, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001143, "Dell ESG PCBA Test", "PC_VENDOR", "5"
00115C, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00115D, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001182, "IMI Norgren Ltd", "SCADA_VENDOR", "3"
001192, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001193, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0011BB, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0011BC, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
0011FC, "Harting Electric Gmbh & Co.KG", "SCADA_VENDOR", "2"
001200, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
001201, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
00120A, "Emerson Climate Technologies GmbH", "SCADA_VENDOR", "3"
001217, "Cisco-Linksys, LLC", "NETWORK_VENDOR", "5"
00121F, "Harding Intruments", "SCADA_VENDOR", "2"
00123F, "Dell ESG PCBA Test", "PC_VENDOR", "5"
001243, "Cisco Systems, Inc.", "NETWORK_VENDOR", "5"
